percentage_of_comma,prcentage of stop words,percentage of long lines,Average word per line,beam_threshold,file_name
0.912986771,63.4185303514,30.4733727811,14.1627218935,1,f.en.11
0.9033288416,64.5300049362,25.8695652174,14.7054347826,2,f.en.12
0.9305107377,63.7445760525,27.408056042,14.2661996497,3,f.en.13
0.8655390327,63.9215686275,31.7438692098,14.6321525886,3,f.en.14
0.9150529106,63.8500739767,25.8101851852,13.5104166667,1,f.en.15
0.9074914344,63.1386861314,24.212034384,13.9613180516,1,f.en.16
0.9656940545,62.8303055326,26.4661654135,14.0015037594,2,f.en.17
0.8784448478,63.0578956802,27.2577996716,13.2980295567,1,f.en.19
0.8978675645,62.9559922502,25.9059367772,13.4633770239,3,f.en.20
0.8265199278,63.5929288103,28.1205164993,14.4304160689,1,f.en.21
0.782186337,64.1541699553,26.0147601476,13.3856088561,1,f.en.22
0.9139881028,63.192928852,23.9159001314,11.6018396846,1,f.en.23
0.8765285142,62.5713148468,26.4077669903,14.1077669903,1,f.en.24
0.8565113281,63.6109402092,26.6612641815,13.8654781199,1,f.en.25
0.8767782697,63.6904761905,25.5480607083,13.2301854975,3,f.en.26
0.8931379332,64.3498942918,24.7967479675,14.756097561,1,f.en.27
0.8802228412,63.326495187,27.2289156627,14.7108433735,3,f.en.28
0.8150409925,63.5240839852,23.670212766,12.4920212766,1,f.en.29
0.8686033439,63.4413616228,26.4,14.2068571429,3,f.en.30
0.9027968022,63.254122978,25.9692757864,13.3460131675,1,f.en.31
0.8568541005,64.3626626814,23.8704177323,13.1312872975,1,f.en.32
0.8534450419,63.1684491979,25.3676470588,13.2389705882,1,f.en.33
0.8568171992,63.3447627475,25.0557620818,12.9189591078,1,f.en.34
0.8528738139,64.0828785496,23.645320197,12.7450738916,1,f.en.35
0.9777011546,63.9628423674,25.9972489684,13.8624484182,1,f.en.36
0.9810791871,63.8015717092,25.6140350877,13.6701754386,1,f.en.37
0.8533147998,62.6012898958,27.972027972,13.641025641,1,f.en.38
0.9075985433,63.9281651227,25.7042253521,13.9154929577,1,f.en.39
0.8251972312,63.2112236945,22.3127035831,12.1188925081,1,f.en.40
0.8544810576,63.249651325,26.5795206972,13.9854756718,1,f.en.41
0.8572169148,64.165547745,24.5901639344,13.1540983607,1,f.en.42
0.9437330229,62.5353223369,26.6114180479,13.5046040516,1,f.en.43
0.8828201369,63.6022271138,27.1428571429,13.2,1,f.en.44
0.8896086862,63.2238484507,28.0898876404,14.665917603,3,f.en.45
0.8720306513,62.8853984875,25.2595155709,12.848615917,3,f.en.46
0.9476911642,63.0401234568,20.0934579439,11.6588785047,1,f.en.47
0.8196122814,63.5532280757,25.9698275862,13.2823275862,1,f.en.48
0.8793988996,63.447337738,26.6405484819,14.47208619,1,f.en.49
0.8616136274,63.4636871508,23.8675958188,11.9895470383,2,f.en.50
0.8907185629,63.4812825778,26.6888150609,13.4352159468,1,f.en.51
0.8645132596,62.2707627614,27.9674796748,13.3886178862,1,f.en.52
0.8796759267,63.4027727372,27.9625779626,13.7432432432,1,f.en.53
0.8528124226,63.4590034274,24.3080625752,13.1913357401,2,f.en.54
0.8713064184,64.3273508207,27.8080697928,13.6619411123,1,f.en.55
0.9791832886,63.4962751301,23.8571428571,13.4085714286,1,f.en.56
0.9747706422,63.873918014,24.537037037,13.625,1,f.en.57
0.9022613882,63.8504491381,25.9302325581,13.8162790698,1,f.en.58
0.8458760513,64.3970893971,31.0786106033,16.8720292505,1,f.en.59
