percentage_of_comma,prcentage of stop words,percentage of long lines,Average word per line,stack_size,file_name
0.912986771,63.41853035,30.47337278,14.16272189,7,f.en.11
0.903328842,64.53000494,25.86956522,14.70543478,6,f.en.12
0.930510738,63.74457605,27.40805604,14.26619965,2,f.en.13
0.865539033,63.92156863,31.74386921,14.63215259,5,f.en.14
0.915052911,63.85007398,25.81018519,13.51041667,1,f.en.15
0.907491434,63.13868613,24.21203438,13.96131805,2,f.en.16
0.965694055,62.83030553,26.46616541,14.00150376,3,f.en.17
0.878444848,63.05789568,27.25779967,13.29802956,5,f.en.19
0.897867565,62.95599225,25.90593678,13.46337702,1,f.en.20
0.826519928,63.59292881,28.1205165,14.43041607,2,f.en.21
0.782186337,64.15416996,26.01476015,13.38560886,1,f.en.22
0.913988103,63.19292885,23.91590013,11.60183968,4,f.en.23
0.876528514,62.57131485,26.40776699,14.10776699,1,f.en.24
0.856511328,63.61094021,26.66126418,13.86547812,3,f.en.25
0.87677827,63.69047619,25.54806071,13.2301855,4,f.en.26
0.893137933,64.34989429,24.79674797,14.75609756,3,f.en.27
0.880222841,63.32649519,27.22891566,14.71084337,1,f.en.28
0.815040993,63.52408399,23.67021277,12.49202128,1,f.en.29
0.868603344,63.44136162,26.4,14.20685714,1,f.en.30
0.902796802,63.25412298,25.96927579,13.34601317,5,f.en.31
0.856854101,64.36266268,23.87041773,13.1312873,5,f.en.32
0.853445042,63.1684492,25.36764706,13.23897059,3,f.en.33
0.856817199,63.34476275,25.05576208,12.91895911,2,f.en.34
0.852873814,64.08287855,23.6453202,12.74507389,4,f.en.35
0.977701155,63.96284237,25.99724897,13.86244842,5,f.en.36
0.981079187,63.80157171,25.61403509,13.67017544,4,f.en.37
0.8533148,62.6012899,27.97202797,13.64102564,3,f.en.38
0.907598543,63.92816512,25.70422535,13.91549296,4,f.en.39
0.825197231,63.21122369,22.31270358,12.11889251,3,f.en.40
0.854481058,63.24965133,26.5795207,13.98547567,1,f.en.41
0.857216915,64.16554775,24.59016393,13.15409836,4,f.en.42
0.943733023,62.53532234,26.61141805,13.50460405,8,f.en.43
0.882820137,63.60222711,27.14285714,13.2,1,f.en.44
0.889608686,63.22384845,28.08988764,14.6659176,7,f.en.45
0.872030651,62.88539849,25.25951557,12.84861592,5,f.en.46
0.947691164,63.04012346,20.09345794,11.6588785,3,f.en.47
0.819612281,63.55322808,25.96982759,13.28232759,4,f.en.48
0.8793989,63.44733774,26.64054848,14.47208619,2,f.en.49
0.861613627,63.46368715,23.86759582,11.98954704,6,f.en.50
0.890718563,63.48128258,26.68881506,13.43521595,2,f.en.51
0.86451326,62.27076276,27.96747967,13.38861789,2,f.en.52
0.879675927,63.40277274,27.96257796,13.74324324,7,f.en.53
0.852812423,63.45900343,24.30806258,13.19133574,8,f.en.54
0.871306418,64.32735082,27.80806979,13.66194111,1,f.en.55
0.979183289,63.49627513,23.85714286,13.40857143,2,f.en.56
0.974770642,63.87391801,24.53703704,13.625,6,f.en.57
0.902261388,63.85044914,25.93023256,13.81627907,8,f.en.58
0.845876051,64.3970894,31.0786106,16.87202925,5,f.en.59
